time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2024-05-17 15:10:00,1.0844,1.08444,1.08396,1.08432,790,0,0,2024-05-17 15:12:00,2024-05-17 15:10:00
2024-05-17 15:20:00,1.08431,1.08441,1.0839,1.08398,528,0,0,2024-05-17 15:27:00,2024-05-17 15:20:00
2024-05-17 15:30:00,1.084,1.08441,1.08398,1.08403,705,0,0,2024-05-17 15:30:00,2024-05-17 15:34:00
2024-05-17 15:40:00,1.08402,1.08436,1.0839,1.08425,783,0,0,2024-05-17 15:40:00,2024-05-17 15:45:00
2024-05-17 15:50:00,1.08424,1.08433,1.08407,1.0843,742,0,0,2024-05-17 15:55:00,2024-05-17 15:59:00
2024-05-17 16:00:00,1.08431,1.085,1.0843,1.08489,942,0,0,2024-05-17 16:00:00,2024-05-17 16:09:00
2024-05-17 16:10:00,1.08489,1.08533,1.08488,1.08522,1005,0,0,2024-05-17 16:10:00,2024-05-17 16:19:00
2024-05-17 16:20:00,1.08522,1.08549,1.0852,1.08537,928,0,0,2024-05-17 16:26:00,2024-05-17 16:21:00
2024-05-17 16:30:00,1.08538,1.08564,1.08475,1.08483,1113,0,0,2024-05-17 16:39:00,2024-05-17 16:33:00
2024-05-17 16:40:00,1.08484,1.08539,1.08462,1.08534,1310,0,0,2024-05-17 16:44:00,2024-05-17 16:49:00
2024-05-17 16:50:00,1.08536,1.08565,1.08512,1.08553,1217,0,0,2024-05-17 16:51:00,2024-05-17 16:59:00
2024-05-17 17:00:00,1.08553,1.08601,1.0855,1.08591,1121,0,0,2024-05-17 17:00:00,2024-05-17 17:06:00
2024-05-17 17:10:00,1.08591,1.08624,1.08587,1.08605,976,0,0,2024-05-17 17:10:00,2024-05-17 17:17:00
2024-05-17 17:20:00,1.08604,1.08635,1.08593,1.08626,838,0,0,2024-05-17 17:20:00,2024-05-17 17:29:00
2024-05-17 17:30:00,1.08627,1.08665,1.08623,1.0866,940,0,0,2024-05-17 17:30:00,2024-05-17 17:34:00
2024-05-17 17:40:00,1.08661,1.08754,1.0866,1.08737,1054,0,0,2024-05-17 17:40:00,2024-05-17 17:49:00
2024-05-17 17:50:00,1.08737,1.08771,1.0872,1.08764,1283,0,0,2024-05-17 17:54:00,2024-05-17 17:57:00
2024-05-17 18:00:00,1.08765,1.08784,1.0873,1.08745,1250,0,0,2024-05-17 18:01:00,2024-05-17 18:02:00
2024-05-17 18:10:00,1.08746,1.08746,1.08679,1.08719,1010,0,0,2024-05-17 18:16:00,2024-05-17 18:10:00
2024-05-17 18:20:00,1.0872,1.08732,1.08708,1.08711,867,0,0,2024-05-17 18:26:00,2024-05-17 18:23:00
2024-05-17 18:30:00,1.08709,1.08712,1.08652,1.08669,817,0,0,2024-05-17 18:33:00,2024-05-17 18:30:00
2024-05-17 18:40:00,1.08671,1.08705,1.08662,1.08698,798,0,0,2024-05-17 18:42:00,2024-05-17 18:47:00
2024-05-17 18:50:00,1.08697,1.087,1.08665,1.08686,614,0,0,2024-05-17 18:57:00,2024-05-17 18:50:00
2024-05-17 19:00:00,1.08687,1.08728,1.0868,1.08706,511,0,0,2024-05-17 19:00:00,2024-05-17 19:04:00
2024-05-17 19:10:00,1.08707,1.08746,1.08706,1.08723,509,0,0,2024-05-17 19:10:00,2024-05-17 19:17:00
2024-05-17 19:20:00,1.08724,1.08728,1.08685,1.08692,450,0,0,2024-05-17 19:23:00,2024-05-17 19:20:00
2024-05-17 19:30:00,1.08691,1.08704,1.08679,1.08688,492,0,0,2024-05-17 19:32:00,2024-05-17 19:38:00
2024-05-17 19:40:00,1.08689,1.08694,1.08671,1.08681,485,0,0,2024-05-17 19:45:00,2024-05-17 19:42:00
2024-05-17 19:50:00,1.08682,1.08694,1.08676,1.08686,506,0,0,2024-05-17 19:51:00,2024-05-17 19:57:00
2024-05-17 20:00:00,1.08685,1.08725,1.08682,1.08716,513,0,0,2024-05-17 20:00:00,2024-05-17 20:08:00
2024-05-17 20:10:00,1.08718,1.08744,1.08714,1.08732,363,0,0,2024-05-17 20:10:00,2024-05-17 20:18:00
2024-05-17 20:20:00,1.0873,1.08744,1.08726,1.08729,495,0,0,2024-05-17 20:28:00,2024-05-17 20:26:00
2024-05-17 20:30:00,1.0873,1.08733,1.08711,1.08723,351,0,0,2024-05-17 20:35:00,2024-05-17 20:30:00
2024-05-17 20:40:00,1.08722,1.08739,1.08709,1.08735,536,0,0,2024-05-17 20:41:00,2024-05-17 20:49:00
2024-05-17 20:50:00,1.08734,1.08737,1.08719,1.08737,411,0,0,2024-05-17 20:53:00,2024-05-17 20:59:00
2024-05-17 21:00:00,1.08736,1.08761,1.0873,1.08736,560,0,0,2024-05-17 21:02:00,2024-05-17 21:04:00
2024-05-17 21:10:00,1.08737,1.08749,1.08726,1.08737,413,0,0,2024-05-17 21:15:00,2024-05-17 21:17:00
2024-05-17 21:20:00,1.08738,1.08739,1.08719,1.08731,502,0,0,2024-05-17 21:23:00,2024-05-17 21:28:00
2024-05-17 21:30:00,1.0873,1.08747,1.0873,1.08747,279,0,0,2024-05-17 21:30:00,2024-05-17 21:36:00
2024-05-17 21:40:00,1.08746,1.08756,1.08739,1.08741,341,0,0,2024-05-17 21:48:00,2024-05-17 21:40:00
2024-05-17 21:50:00,1.0874,1.08769,1.0874,1.08757,583,0,0,2024-05-17 21:50:00,2024-05-17 21:58:00
2024-05-17 22:00:00,1.08757,1.08757,1.0873,1.08741,409,0,0,2024-05-17 22:05:00,2024-05-17 22:00:00
2024-05-17 22:10:00,1.08742,1.08755,1.08736,1.08752,247,0,0,2024-05-17 22:12:00,2024-05-17 22:17:00
2024-05-17 22:20:00,1.08753,1.08764,1.08747,1.08762,328,0,0,2024-05-17 22:21:00,2024-05-17 22:29:00
2024-05-17 22:30:00,1.08761,1.08762,1.08749,1.08756,364,0,0,2024-05-17 22:35:00,2024-05-17 22:30:00
2024-05-17 22:40:00,1.08757,1.08758,1.08723,1.08733,414,0,0,2024-05-17 22:48:00,2024-05-17 22:40:00
2024-05-17 22:50:00,1.08733,1.08736,1.08706,1.08726,395,0,0,2024-05-17 22:57:00,2024-05-17 22:50:00
2024-05-17 23:00:00,1.08727,1.08728,1.08707,1.08716,287,0,0,2024-05-17 23:09:00,2024-05-17 23:00:00
2024-05-17 23:10:00,1.08715,1.08724,1.08709,1.0871,334,0,0,2024-05-17 23:19:00,2024-05-17 23:15:00
2024-05-17 23:20:00,1.0871,1.08714,1.08698,1.08704,413,0,0,2024-05-17 23:28:00,2024-05-17 23:21:00
2024-05-17 23:30:00,1.08703,1.08709,1.0869,1.08691,395,0,0,2024-05-17 23:38:00,2024-05-17 23:31:00
