time,open,high,low,close,tick_volume,spread,real_volume
2023-10-24 06:00:00,0.63578,0.6361,0.63537,0.63569,2397,0,0
2023-10-24 07:00:00,0.6357,0.63598,0.6355,0.63588,1955,0,0
2023-10-24 08:00:00,0.63589,0.63598,0.63516,0.63562,2423,0,0
2023-10-24 09:00:00,0.63564,0.63759,0.63549,0.63739,4251,0,0
2023-10-24 10:00:00,0.63744,0.63789,0.63645,0.63649,5231,0,0
2023-10-24 11:00:00,0.63649,0.63719,0.63638,0.6366,4421,0,0
2023-10-24 12:00:00,0.63658,0.6366,0.63591,0.63629,3131,0,0
2023-10-24 13:00:00,0.63626,0.63642,0.63544,0.63551,3046,0,0
2023-10-24 14:00:00,0.63551,0.63663,0.6353,0.63639,3071,0,0
2023-10-24 15:00:00,0.6364,0.63654,0.63581,0.63622,4260,0,0
2023-10-24 16:00:00,0.63625,0.63638,0.63491,0.63594,6401,0,0
2023-10-24 17:00:00,0.63595,0.63657,0.63522,0.63588,6743,0,0
2023-10-24 18:00:00,0.63586,0.63586,0.6344,0.63482,5344,0,0
2023-10-24 19:00:00,0.63484,0.63534,0.63442,0.63474,3741,0,0
2023-10-24 20:00:00,0.63475,0.63577,0.63469,0.63552,3414,0,0
2023-10-24 21:00:00,0.63551,0.63593,0.63527,0.63572,2850,0,0
2023-10-24 22:00:00,0.63572,0.63591,0.63552,0.63582,2468,0,0
2023-10-24 23:00:00,0.6358,0.636,0.63531,0.63531,2004,0,0
2023-10-25 00:00:00,0.63528,0.6357,0.63473,0.63566,1705,7,0
2023-10-25 01:00:00,0.63562,0.63563,0.63522,0.6356,1335,0,0
2023-10-25 02:00:00,0.63559,0.6362,0.63553,0.63602,1284,0,0
2023-10-25 03:00:00,0.63603,0.63924,0.63576,0.63918,4381,0,0
2023-10-25 04:00:00,0.63918,0.63997,0.63852,0.6391,4365,0,0
2023-10-25 05:00:00,0.63911,0.63933,0.63854,0.63889,2937,0,0
2023-10-25 06:00:00,0.63888,0.63911,0.6378,0.6381,2757,0,0
2023-10-25 07:00:00,0.63809,0.63868,0.63791,0.63864,1980,0,0
2023-10-25 08:00:00,0.63863,0.63873,0.63712,0.63755,2868,0,0
2023-10-25 09:00:00,0.63757,0.63827,0.63706,0.63707,3277,0,0
2023-10-25 10:00:00,0.63705,0.6371,0.63557,0.63572,4537,0,0
2023-10-25 11:00:00,0.63571,0.6362,0.63513,0.63532,3806,0,0
2023-10-25 12:00:00,0.63532,0.63535,0.6329,0.63316,3832,0,0
2023-10-25 13:00:00,0.63317,0.63391,0.6328,0.63372,3129,0,0
2023-10-25 14:00:00,0.6337,0.63411,0.63328,0.63379,2840,0,0
2023-10-25 15:00:00,0.6338,0.63467,0.63374,0.63393,3816,0,0
2023-10-25 16:00:00,0.63392,0.6344,0.63244,0.63331,4850,0,0
2023-10-25 17:00:00,0.6333,0.63382,0.63201,0.63333,7135,0,0
2023-10-25 18:00:00,0.63332,0.6341,0.63293,0.6333,5738,0,0
2023-10-25 19:00:00,0.63328,0.63332,0.63174,0.63197,3740,0,0
2023-10-25 20:00:00,0.63197,0.63217,0.63059,0.63088,4952,0,0
2023-10-25 21:00:00,0.63088,0.63137,0.63053,0.6309,3475,0,0
2023-10-25 22:00:00,0.63092,0.63142,0.63076,0.63107,3259,0,0
2023-10-25 23:00:00,0.63106,0.63118,0.63063,0.63069,2378,0,0
2023-10-26 00:00:00,0.63067,0.63099,0.63036,0.63076,921,8,0
2023-10-26 01:00:00,0.63076,0.63079,0.62846,0.62894,2853,0,0
2023-10-26 02:00:00,0.62892,0.6295,0.62885,0.62938,2226,0,0
2023-10-26 03:00:00,0.62938,0.62987,0.62758,0.62796,3337,0,0
2023-10-26 04:00:00,0.62798,0.62942,0.62757,0.62881,4493,0,0
2023-10-26 05:00:00,0.6288,0.62888,0.62701,0.6275,4168,0,0
2023-10-26 06:00:00,0.62749,0.62789,0.62725,0.62773,2998,0,0
2023-10-26 07:00:00,0.62772,0.62792,0.6274,0.62772,2046,0,0
2023-10-26 08:00:00,0.62773,0.62935,0.62773,0.62876,3272,0,0
2023-10-26 09:00:00,0.62876,0.63021,0.62815,0.62928,4837,0,0
2023-10-26 10:00:00,0.62928,0.63086,0.62903,0.63068,4596,0,0
2023-10-26 11:00:00,0.63068,0.63132,0.63045,0.63097,3643,0,0
2023-10-26 12:00:00,0.63098,0.63167,0.63066,0.63122,3713,0,0
2023-10-26 13:00:00,0.63119,0.63153,0.63018,0.63028,3145,0,0
2023-10-26 14:00:00,0.63027,0.6305,0.62984,0.62997,2813,0,0
2023-10-26 15:00:00,0.62995,0.63225,0.62929,0.63216,7052,0,0
2023-10-26 16:00:00,0.63217,0.63293,0.63123,0.63159,7302,0,0
2023-10-26 17:00:00,0.63159,0.63247,0.63037,0.63212,7267,0,0
2023-10-26 18:00:00,0.63212,0.63217,0.63022,0.63115,5549,0,0
2023-10-26 19:00:00,0.63114,0.63115,0.63018,0.63028,4614,0,0
2023-10-26 20:00:00,0.63029,0.63258,0.63019,0.63243,4927,0,0
2023-10-26 21:00:00,0.63241,0.63308,0.63227,0.63282,3758,0,0
2023-10-26 22:00:00,0.6328,0.63305,0.63138,0.63174,4007,0,0
2023-10-26 23:00:00,0.63174,0.63257,0.63158,0.63201,1797,0,0
2023-10-27 00:00:00,0.63201,0.63224,0.63169,0.63212,1336,6,0
